state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,1,University,Employed,F,Suburban,Married,C,3,Offer1,Agent,Two-Door Car,2
Arizona,No,2,University,Unemployed,F,Suburban,Single,P,3,Offer3,Agent,Four-Door Car,2
Nevada,No,3,University,Employed,F,Suburban,Married,P,3,Offer1,Agent,Two-Door Car,2
California,No,1,University,Unemployed,M,Suburban,Married,C,2,Offer1,Call Center,SUV,2
Washington,No,1,University,Employed,M,Rural,Single,P,1,Offer1,Agent,Four-Door Car,2
Oregon,Yes,1,University,Employed,F,Rural,Married,P,3,Offer2,Web,Two-Door Car,2
Oregon,Yes,1,College,Employed,F,Suburban,Married,C,3,Offer1,Agent,Four-Door Car,2
Arizona,No,3,University,Unemployed,M,Urban,Single,C,3,Offer1,Agent,Four-Door Car,2
Oregon,Yes,1,University,Other,M,Suburban,Divorced,C,3,Offer1,Agent,Four-Door Car,2
Oregon,No,2,College,Employed,F,Urban,Married,S,2,Offer2,Branch,Four-Door Car,2
California,No,1,College,Unemployed,M,Suburban,Single,P,3,Offer1,Agent,Four-Door Car,1
California,No,1,College,Unemployed,F,Suburban,Married,P,3,Offer2,Agent,SUV,2
California,No,3,University,Employed,M,Urban,Married,C,1,Offer2,Agent,Four-Door Car,2
Arizona,Yes,1,High School or Below,Employed,M,Suburban,Married,C,3,Offer2,Branch,SUV,2
California,No,1,College,Employed,M,Urban,Single,C,3,Offer4,Call Center,Four-Door Car,2
Oregon,No,1,University,Employed,F,Rural,Married,C,2,Offer2,Branch,Four-Door Car,2
Nevada,No,1,High School or Below,Other,M,Suburban,Married,P,3,Offer2,Call Center,Two-Door Car,2
California,No,1,College,Other,M,Suburban,Married,P,2,Offer3,Call Center,SUV,2
Oregon,No,1,College,Employed,M,Urban,Married,P,2,Offer2,Branch,Four-Door Car,2
California,No,3,High School or Below,Employed,F,Suburban,Married,C,2,Offer1,Call Center,Four-Door Car,1
Oregon,No,1,High School or Below,Employed,M,Suburban,Single,P,2,Offer1,Branch,Two-Door Car,2
Washington,No,2,University,Other,F,Suburban,Divorced,P,3,Offer4,Call Center,Four-Door Car,2
Arizona,Yes,1,University,Other,M,Suburban,Divorced,P,3,Offer1,Agent,Four-Door Car,2
